,Content,predicted_phrases
0,00024_04965.txt,
1,00030_08877.txt,no bebida detected
2,00050_05750.txt,
3,00057_04788.txt,"Slogans	142	151
Black-and-White_Fallacy	97	137
Bandwagon	75	89
Doubt	153	179
Exaggeration,Minimisation	2	21
"
4,00085_01092.txt,
5,00106_06678.txt,"Doubt	17	30
"
6,00110_07414.txt,
7,00111_07411.txt,
8,00114_06197.txt,
9,00122_00657.txt,
10,00131_00214.txt,
11,00140_03617.txt,"Black-and-White_Fallacy	274	392
Loaded_Language	165	198
Loaded_Language	407	434
Loaded_Language	510	526
Loaded_Language	186	200
Appeal_to_Authority	450	514
Loaded_Language	235	261
"
12,00141_05998.txt,
13,00142_06814.txt,"Reductio_ad_hitlerum	35	47
Exaggeration,Minimisation	93	110
Exaggeration,Minimisation	113	146
Loaded_Language	124	132
"
14,00152_05775.txt,
15,00159_01332.txt,"Exaggeration,Minimisation	107	136
"
16,00175_09016.txt,
17,00192_07660.txt,
18,00205_02094.txt,"Exaggeration,Minimisation	38	51
Exaggeration,Minimisation	52	64
Loaded_Language	38	43
"
19,00206_05048.txt,"Exaggeration,Minimisation	106	141
Exaggeration,Minimisation	5	32
Exaggeration,Minimisation	0	2
Exaggeration,Minimisation	34	62
"
20,00215_06538.txt,
21,00217_02980.txt,"Appeal_to_fear-prejudice	228	295
Exaggeration,Minimisation	358	386
Exaggeration,Minimisation	159	188
"
22,00219_03096.txt,
23,00239_04271.txt,
24,00246_03331.txt,
25,00251_04488.txt,"Loaded_Language	187	200
Exaggeration,Minimisation	354	407
Doubt	23	38
"
26,00260_05414.txt,
27,00281_08223.txt,
28,00296_00654.txt,
29,00301_02068.txt,
30,00314_00222.txt,"Exaggeration,Minimisation	287	317
"
31,00317_00238.txt,"Loaded_Language	246	263
Successfully uploaded!"
32,00318_09669.txt,"Exaggeration,Minimisation	0	23
"
33,00339_07749.txt,"Exaggeration,Minimisation	282	340
"
34,00349_00495.txt,"Exaggeration,Minimisation	24	45
"
35,00362_08129.txt,
36,00368_05928.txt,
37,00377_05067.txt,"Loaded_Language	2	25
Exaggeration,Minimisation	332	386
Exaggeration,Minimisation	172	309
"
38,00386_05219.txt,
39,00388_07119.txt,
40,00396_00668.txt,
41,00397_00736.txt,
42,00401_05181.txt,
43,00404_00382.txt,
44,00419_08219.txt,
45,00432_05361.txt,
46,00433_02721.txt,"Name_Calling,Labeling	64	105
Name_Calling,Labeling	0	11
Appeal_to_fear-prejudice	92	105
"
47,00437_07345.txt,
48,00453_08171.txt,
49,00455_02773.txt,"Straw_Men	22	40
Name_Calling,Labeling	48	64
Exaggeration,Minimisation	66	111
Loaded_Language	66	111
"
50,00477_02619.txt,"Exaggeration,Minimisation	176	190
Loaded_Language	191	207
Exaggeration,Minimisation	0	26
Exaggeration,Minimisation	243	285
"
51,00479_05683.txt,
52,00482_03880.txt,
53,00489_09039.txt,"Name_Calling,Labeling	3	22
Loaded_Language	37	49
Loaded_Language	0	25
Slogans	360	375
Loaded_Language	0	25
Name_Calling,Labeling	222	258
Loaded_Language	270	310
Slogans	70	101
Name_Calling,Labeling	53	78
Exaggeration,Minimisation	226	236
Slogans	0	25
Loaded_Language	79	110
Name_Calling,Labeling	111	136
Name_Calling,Labeling	18	27
Exaggeration,Minimisation	292	319
Repetition	235	237
Loaded_Language	72	101
Name_Calling,Labeling	121	136
Obfuscation,Intentional_Vagueness,Confusion	270	319
Exaggeration,Minimisation	13	21
Loaded_Language	25	36
Loaded_Language	28	32
Exaggeration,Minimisation	91	103
Exaggeration,Minimisation	37	49
Obfuscation,Intentional_Vagueness,Confusion	139	178
Exaggeration,Minimisation	213	223
Reductio_ad_hitlerum	164	177
Flag-Waving	289	321
Causal_Oversimplification	31	49
Loaded_Language	139	177
Exaggeration,Minimisation	243	261
Repetition	143	145
Black-and-White_Fallacy	28	32
Slogans	222	258
Name_Calling,Labeling	73	110
Loaded_Language	220	237
Exaggeration,Minimisation	235	237
Flag-Waving	37	49
"
54,00494_06720.txt,
55,00497_05385.txt,"Exaggeration,Minimisation	43	116
"
56,00509_02435.txt,
57,00534_05653.txt,
58,00553_02602.txt,"Loaded_Language	143	158
Reductio_ad_hitlerum	375	393
"
59,00572_03442.txt,
60,00582_04944.txt,
61,00584_05470.txt,now propaganda detected
62,00593_04933.txt,
63,00611_07845.txt,
64,00643_01650.txt,
65,00674_03988.txt,
66,00689_04099.txt,
67,00692_07708.txt,"Exaggeration,Minimisation	8	22
"
68,00694_02816.txt,"Exaggeration,Minimisation	813	847
Loaded_Language	471	490
Repetition	959	967
Loaded_Language	1229	1245
Loaded_Language	1899	1925
Flag-Waving	59	114
Exaggeration,Minimisation	740	777
Loaded_Language	1097	1109
Loaded_Language	1670	1691
Causal_Oversimplification	1868	1901
"
69,00707_08697.txt,"Exaggeration,Minimisation	120	159
Exaggeration,Minimisation	30	51
Exaggeration,Minimisation	40	49
Black-and-White_Fallacy	307	360
Exaggeration,Minimisation	193	281
Flag-Waving	193	281
Exaggeration,Minimisation	63	117
Exaggeration,Minimisation	451	485
Exaggeration,Minimisation	671	761
Exaggeration,Minimisation	561	642
Exaggeration,Minimisation	489	496
Slogans	551	556
Exaggeration,Minimisation	72	123
Appeal_to_fear-prejudice	801	829
Exaggeration,Minimisation	6	17
"
70,00722_08083.txt,"Exaggeration,Minimisation	157	184
Exaggeration,Minimisation	0	31
"
71,00743_00726.txt,"Flag-Waving	66	157
Black-and-White_Fallacy	1597	1644
Slogans	474	502
Straw_Men	72	279
Exaggeration,Minimisation	719	779
Exaggeration,Minimisation	1431	1513
Appeal_to_fear-prejudice	770	823
Loaded_Language	1408	1447
Loaded_Language	821	823
Slogans	169	274
Loaded_Language	1318	1344
"
72,00744_09035.txt,"appeal_to_fear-prejudice	369	391
appeal_to_fear-prejudice	163	182
appeal_to_fear-prejudice	46	75
exaggeration,minimisation	82	163
Loaded_Language	87	96
"
73,00749_08842.txt,
74,00755_03970.txt,
75,00759_05160.txt,"Exaggeration,Minimisation	158	176
Exaggeration,Minimisation	184	200
Appeal_to_fear-prejudice	203	228
"
76,00766_01651.txt,"Loaded_Language	79	111
Doubt	238	295
Causal_Oversimplification	80	107
Loaded_Language	218	237
Causal_Oversimplification	112	146
"
77,00778_02718.txt,"Causal_Oversimplification	15	38
"
78,00779_05445.txt,
79,00783_00972.txt,
80,00787_01138.txt,
81,00796_06066.txt,
82,00815_08005.txt,
83,00818_08242.txt,"Exaggeration,Minimisation	31	95
Exaggeration,Minimisation	104	134
Exaggeration,Minimisation	180	188
"
84,00879_00496.txt,"Exaggeration,Minimisation	38	88
"
85,00890_05009.txt,"Loaded_Language	396	409
Loaded_Language	67	81
Black-and-White_Fallacy	111	122
Red_Herring	240	295
Loaded_Language	294	323
Loaded_Language	324	382
Exaggeration,Minimisation	240	295
"
86,00891_02689.txt,"Loaded_Language	227	240
Loaded_Language	380	400
Exaggeration,Minimisation	61	104
Exaggeration,Minimisation	105	187
Exaggeration,Minimisation	190	203
"
87,00896_05947.txt,
88,00898_03137.txt,
89,00902_03079.txt,"Exaggeration,Minimisation	18	65
"
90,00933_01949.txt,"Exaggeration,Minimisation	9	40
Exaggeration,Minimisation	110	121
"
91,00941_03984.txt,
92,00956_04617.txt,
93,00980_06432.txt,
94,00993_06387.txt,"Repetition	2005	2011
Slogans	8988	8998
Slogans	8919	8925
Repetition	8706	8723
Loaded_Language	7556	7584
Reductio_ad_hitlerum	8008	8016
Exaggeration,Minimisation	1545	1593
Loaded_Language	5919	5977
Exaggeration,Minimisation	5979	6054
Name_Calling,Labeling	3879	3914
Exaggeration,Minimisation	6676	6758
Reductio_ad_hitlerum	6857	6881
Slogans	6723	6748
Loaded_Language	3251	3286
Loaded_Language	2883	2909
Exaggeration,Minimisation	3881	3998
Loaded_Language	2520	2582
Name_Calling,Labeling	6244	6316
Loaded_Language	1684	1812
Exaggeration,Minimisation	3586	3647
Loaded_Language	5283	5299
Slogans	91	140
Exaggeration,Minimisation	1705	1737
Loaded_Language	7851	7865
Loaded_Language	8861	8886
Slogans	340	350
Slogans	4178	4191
"
95,01007_00497.txt,"Loaded_Language	370	385
Name_Calling,Labeling	232	241
Loaded_Language	459	476
Name_Calling,Labeling	106	115
Slogans	555	563
Flag-Waving	0	23
Loaded_Language	511	537
Loaded_Language	290	315
Whataboutism	259	283
Flag-Waving	550	555
Exaggeration,Minimisation	507	551
Name_Calling,Labeling	361	385
Name_Calling,Labeling	158	172
Loaded_Language	58	74
Causal_Oversimplification	71	194
Flag-Waving	23	39
Name_Calling,Labeling	290	315
Loaded_Language	0	23
"
96,01014_04568.txt,
97,01048_06463.txt,
98,01055_01099.txt,"Exaggeration,Minimisation	14	36
Exaggeration,Minimisation	103	130
Exaggeration,Minimisation	38	60
"
99,01063_03375.txt,
100,01064_05349.txt,no southern detected
101,01077_09672.txt,"Exaggeration,Minimisation	9	53
Causal_Oversimplification	13	53
"
102,01089_04742.txt,"Loaded_Language	234	267
Causal_Oversimplification	10	99
Black-and-White_Fallacy	10	99
Loaded_Language	99	110
Name_Calling,Labeling	110	120
Slogans	0	9
Loaded_Language	200	212
Loaded_Language	0	9
"
103,01102_03531.txt,"Appeal_to_fear-prejudice	155	180
Loaded_Language	48	52
Exaggeration,Minimisation	0	20
Reductio_ad_hitlerum	3	48
Loaded_Language	0	20
"
104,08680_09512.txt,
105,08692_03401.txt,"Appeal_to_fear-prejudice	35	77
Name_Calling,Labeling	25	33
"
106,08716_01344.txt,"Obfuscation,Intentional_Vagueness,Confusion	445	503
Obfuscation,Intentional_Vagueness,Confusion	893	935
Black-and-White_Fallacy	798	912
Name_Calling,Labeling	222	229
Causal_Oversimplification	360	452
Repetition	865	892
Appeal_to_fear-prejudice	436	491
Obfuscation,Intentional_Vagueness,Confusion	1130	1172
Exaggeration,Minimisation	682	835
Name_Calling,Labeling	218	222
Exaggeration,Minimisation	275	341
Name_Calling,Labeling	1038	1046
Exaggeration,Minimisation	911	935
Name_Calling,Labeling	226	229
Slogans	916	935
Loaded_Language	50	83
Name_Calling,Labeling	428	490
Exaggeration,Minimisation	1031	1074
Doubt	292	320
Exaggeration,Minimisation	231	332
Name_Calling,Labeling	100	107
"
107,08722_04043.txt,
108,08724_06736.txt,"Loaded_Language	35	42
Loaded_Language	107	118
Name_Calling,Labeling	124	131
Exaggeration,Minimisation	170	174
Exaggeration,Minimisation	132	154
Exaggeration,Minimisation	159	169
"
109,08726_03295.txt,"Loaded_Language	25	30
Name_Calling,Labeling	31	36
"
110,08729_07723.txt,
111,08730_07442.txt,
112,08732_08581.txt,"Appeal_to_fear-prejudice	48	143
"
113,08745_04134.txt,"Exaggeration,Minimisation	499	536
"
114,08747_09054.txt,"name_calling(33, 60)
flag_waving(69, 84)
Exaggeration,Minimisation(3, 30)
Flag-Waving(3, 30)
"
115,08758_04288.txt,
116,08765_07686.txt,
117,08780_05639.txt,
118,08795_05612.txt,"Appeal_to_fear-prejudice	34	32
Exaggeration,Minimisation	77	85
"
119,08798_05119.txt,"Exaggeration,Minimisation	303	325
Exaggeration,Minimisation	751	779
Exaggeration,Minimisation	614	640
"
120,08829_02790.txt,"Exaggeration,Minimisation	151	166
Exaggeration,Minimisation	36	41
"
121,08848_08668.txt,
122,08855_04438.txt,"Exaggeration,Minimisation	7	31
"
123,08873_06191.txt,
124,08878_04343.txt,
125,08895_07877.txt,
126,article111111136.txt,"Exaggeration,Minimisation	612	631
Exaggeration,Minimisation	280	305
Loaded_Language	2364	2375
Exaggeration,Minimisation	629	630
Name_Calling,Labeling	2202	2213
Appeal_to_fear-prejudice	717	835
Loaded_Language	172	213
"
127,article694356862.txt,"Loaded_Language	2119	2141
Doubt	3454	3571
Flag-Waving	2753	2787
Loaded_Language	2618	2627
Loaded_Language	3950	3989
Flag-Waving	1622	1657
Flag-Waving	130	203
Loaded_Language	1622	1657
Appeal_to_fear-prejudice	3091	3134
Loaded_Language	2547	2580
Loaded_Language	4343	4367
Black-and-White_Fallacy	12	43
Exaggeration,Minimisation	4046	4094
Flag-Waving	1	43
Loaded_Language	3461	3470
Whataboutism	ooo1	ooou
Flag-Waving	1941	1990
Name_Calling,Labeling	4369	4404
Doubt	4479	4543
"
128,article699291100.txt,"Doubt	3071	3144
Name_Calling,Labeling	3706	3725
Exaggeration,Minimisation	4000	4048
Causal_Oversimplification	597	1013
Doubt	1918	2224
Slogans	3667	3688
Name_Calling,Labeling	2483	2495
Exaggeration,Minimisation	2986	3024
Slogans	3706	3725
Loaded_Language	1279	1299
"
129,article700461600.txt,"Black-and-White_Fallacy	4483	4548
Reductio_ad_hitlerum	6146	6180
Name_Calling,Labeling	2822	2830
Loaded_Language	4320	4351
Black-and-White_Fallacy	3574	3638
Loaded_Language	6210	6237
Reductio_ad_hitlerum	1210	1310
Loaded_Language	3893	3941
Loaded_Language	1376	1393
Loaded_Language	307	339
Whataboutism	2322	2432
Appeal_to_fear-prejudice	3124	3200
Reductio_ad_hitlerum	680	763
Black-and-White_Fallacy	2652	2761
Loaded_Language	916	943
Loaded_Language	1934	1974
Reductio_ad_hitlerum	1612	1816
Name_Calling,Labeling	45	61
Black-and-White_Fallacy	4441	4482
Exaggeration,Minimisation	5096	5186
Black-and-White_Fallacy	3119	3200
Loaded_Language	4181	4254
Loaded_Language	3107	3117
Loaded_Language	4317	4351
Loaded_Language	2131	2164
Loaded_Language	2878	2906
Loaded_Language	702	734
Exaggeration,Minimisation	94	161
Loaded_Language	2995	3035
Straw_Men	5003	5186
Loaded_Language	864	908
Loaded_Language	757	844
Name_Calling,Labeling	1677	1711
Loaded_Language	4699	4717
Appeal_to_fear-prejudice	2135	2245
Thought-terminating_Cliches	572	581
Hasty_Generalization	4288	4351
Loaded_Language	5984	6009
Loaded_Language	2273	2297
Black-and-White_Fallacy	6059	6141
Name_Calling,Labeling	2284	2295
Black-and-White_Fallacy	2832	2902
Loaded_Language	1691	1756
Black-and-White_Fallacy	81	140
Loaded_Language	2063	2108
"
130,article701933838.txt,
131,article709732928.txt,"Doubt	9770	9823
Thought-terminating_Cliches	8407	8554
Loaded_Language	4369	4399
Thought-terminating_Cliches	5401	5414
Loaded_Language	1938	1948
Loaded_Language	2121	2193
Black-and-White_Fallacy	9781	9823
Doubt	10072	10137
Flag-Waving	11092	11220
Flag-Waving	11222	11255
Loaded_Language	2046	2084
Loaded_Language	904	964
Doubt	7021	7150
Doubt	10146	10581
Doubt	9781	9823
"
132,article710100700.txt,"Loaded_Language	1258	1268
"
133,article721710340.txt,"Loaded_Language	4688	4716
Loaded_Language	4450	4474
Loaded_Language	2953	2981
"
134,article722507879.txt,"Loaded_Language	1879	1898
Loaded_Language	2416	2421
"
135,article723501118.txt,"Exaggeration,Minimisation	353	364
Exaggeration,Minimisation	2674	2738
Loaded_Language	682	695
Loaded_Language	763	784
Flag-Waving	3	32
Loaded_Language	3341	3362
Loaded_Language	381	398
Name_Calling,Labeling	1672	1689
Loaded_Language	89	116
Loaded_Language	2	5
Name_Calling,Labeling	1059	1093
Flag-Waving	978	1004
Doubt	1076	1113
Exaggeration,Minimisation	2486	2514
Exaggeration,Minimisation	3324	3359
Doubt	3294	3441
Doubt	2137	2190
Doubt	1121	1186
Loaded_Language	238	265
Doubt	2225	2264
Repetition	2674	2692
Loaded_Language	2717	2756
Exaggeration,Minimisation	2530	2586
Exaggeration,Minimisation	1885	1923
Exaggeration,Minimisation	1510	1566
Flag-Waving	1778	1806
"
136,article723537899.txt,"Loaded_Language	2245	2261
Loaded_Language	784	793
Loaded_Language	258	265
Loaded_Language	651	659
Loaded_Language	2374	2380
Doubt	2457	2534
Loaded_Language	561	577
Repetition	2222	2236
Loaded_Language	438	445
Loaded_Language	999	1006
"
137,article723793978.txt,"Repetition	836	849
Loaded_Language	883	903
Loaded_Language	2008	2044
Slogans	2018	2030
Causal_Oversimplification	1520	1637
Name_Calling,Labeling	1716	1725
Repetition	672	692
Loaded_Language	2064	2075
Loaded_Language	669	670
Exaggeration,Minimisation	1072	1121
Straw_Men	845	849
Loaded_Language	1520	1637
Doubt	1638	1686
Black-and-White_Fallacy	1404	1519
"
138,article729368012.txt,"Name_Calling,Labeling	2049	2074
Repetition	28979	28993
Loaded_Language	22304	22340
Doubt	145	478
Exaggeration,Minimisation	28979	28994
Repetition	20823	20837
Exaggeration,Minimisation	4823	4946
Causal_Oversimplification	26938	26995
Repetition	28669	28683
Repetition	3065	3077
Passive_Voice	1088	1209
Repetition	7333	7346
Appeal_to_fear-prejudice	25477	25563
Loaded_Language	27005	27075
Exaggeration,Minimisation	7988	8138
Repetition	13349	13369
Name_Calling,Labeling	6226	6250
Repetition	7956	7969
Exaggeration,Minimisation	26540	26485
"
139,article730389374.txt,"Loaded_Language	6768	6791
Loaded_Language	5282	5310
Repetition	4632	4542
Repetition	4803	4812
Repetition	6932	6923
Loaded_Language	475	600
Exaggeration,Minimisation	4205	4265
Loaded_Language	143	174
Loaded_Language	2911	2941
Repetition	5755	5746
Loaded_Language	2996	3022
Causal_Oversimplification	4267	4506
Repetition	5427	5418
Loaded_Language	4496	4542
Loaded_Language	4116	4122
Loaded_Language	5520	5544
Black-and-White_Fallacy	925	1154
"
140,article734265267.txt,"Loaded_Language	4480	4502
Exaggeration,Minimisation	3170	3209
Exaggeration,Minimisation	1667	1843
Exaggeration,Minimisation	605	624
Exaggeration,Minimisation	2805	2837
Flag-Waving	1614	1647
Flag-Waving	807	830
"
141,article735090638.txt,"Loaded_Language	235	259
Loaded_Language	876	927
Loaded_Language	911	928
Loaded_Language	765	804
Loaded_Language	1125	1175
Flag-Waving	1021	1124
Loaded_Language	604	642
Loaded_Language	1021	1082
Loaded_Language	543	566
Repetition	1407	1426
"
142,article735265649.txt,"Loaded_Language	959	981
Loaded_Language	1003	1011
Flag-Waving	2045	2071
Name_Calling,Labeling	1047	1065
Loaded_Language	1114	1137
Flag-Waving	338	392
Doubt	1871	1925
Doubt	1930	2062
Appeal_to_Authority	1483	1614
Repetition	1551	1561
Loaded_Language	1916	1962
"
143,article735815503.txt,"Loaded_Language	311	328
Loaded_Language	95	110
Loaded_Language	25	66
Loaded_Language	145	176
"
144,article735855251.txt,"Loaded_Language	4492	4512
Flag-Waving	4523	4711
"
145,article736757214.txt,"Loaded_Language	215	234
Loaded_Language	376	395
"
146,article739091070.txt,"Name_Calling,Labeling	1138	1146
Loaded_Language	68	81
Loaded_Language	1287	1307
Causal_Oversimplification	390	493
Loaded_Language	689	708
Name_Calling,Labeling	371	390
Name_Calling,Labeling	615	631
Repetition	88	93
Causal_Oversimplification	631	740
Repetition	69	81
Loaded_Language	1138	1146
Appeal_to_fear-prejudice	286	328
Name_Calling,Labeling	170	227
"
147,article740808926.txt,"Exaggeration,Minimisation	285	308
Exaggeration,Minimisation	280	283
Exaggeration,Minimisation	1277	1289
Name_Calling,Labeling	258	276
Loaded_Language	179	187
Loaded_Language	333	346
Exaggeration,Minimisation	88	106
Exaggeration,Minimisation	719	725
Exaggeration,Minimisation	5	56
Loaded_Language	72	83
Appeal_to_fear-prejudice	1148	1152
"
148,article741896049.txt,"Appeal_to_Authority	4296	4166
"
149,article7615462239.txt,"Loaded_Language	1795	1812
Exaggeration,Minimisation	1078	1114
Bandwagon	1826	1882
Loaded_Language	2346	2354
Loaded_Language	2027	2044
Repetition	1155	1165
Loaded_Language	1574	1583
Loaded_Language	1447	1461
Repetition	1895	1907
Loaded_Language	38	56
Flag-Waving	31	36
Loaded_Language	1257	1285
Loaded_Language	2537	2544
Exaggeration,Minimisation	901	1005
Loaded_Language	1683	1711
Repetition	536	546
Loaded_Language	1548	1564
Exaggeration,Minimisation	2186	2290
Loaded_Language	372	388
Loaded_Language	2616	2673
Repetition	2328	2339
Loaded_Language	902	933
Loaded_Language	998	1031
Flag-Waving	145	149
Loaded_Language	614	629
Loaded_Language	737	759
Loaded_Language	746	759
Repetition	2254	2265
Loaded_Language	2018	2044
Loaded_Language	1154	1269
Exaggeration,Minimisation	2292	2438
Flag-Waving	1548	1564
Loaded_Language	1843	1881
Loaded_Language	59	62
Doubt	1046	1102
Loaded_Language	2204	2252
Loaded_Language	1065	1114
Loaded_Language	569	588
"
150,article7625464289.txt,"Loaded_Language	3308	3319
Loaded_Language	1831	1849
Loaded_Language	94	112
Exaggeration,Minimisation	2711	2733
Loaded_Language	93	193
Slogans	1714	1760
Loaded_Language	781	792
Black-and-White_Fallacy	2371	2438
Loaded_Language	920	948
Loaded_Language	1886	1895
Exaggeration,Minimisation	1021	1062
Exaggeration,Minimisation	2941	2984
Reductio_ad_hitlerum	2439	2470
Loaded_Language	1275	1312
Black-and-White_Fallacy	1666	1713
Loaded_Language	655	694
Loaded_Language	908	935
Loaded_Language	1066	1097
Loaded_Language	309	417
Red_Herring	1164	1203
Loaded_Language	2603	2610
Loaded_Language	2208	2237
Loaded_Language	1787	1795
Loaded_Language	2287	2309
Loaded_Language	769	779
Loaded_Language	1686	1723
Black-and-White_Fallacy	529	633
"
151,article7634408719.txt,"Loaded_Language	7233	7246
Loaded_Language	7248	7264
Loaded_Language	241	257
Loaded_Language	6753	6762
Black-and-White_Fallacy	4324	4469
Loaded_Language	1346	1373
Black-and-White_Fallacy	2878	3001
Loaded_Language	1802	1820
Loaded_Language	2670	2686
Appeal_to_fear-prejudice	260	591
Black-and-White_Fallacy	6790	6809
Loaded_Language	524	543
Exaggeration,Minimisation	2915	3071
Loaded_Language	3757	3772
Loaded_Language	2219	2237
Causal_Oversimplification	6602	6762
Loaded_Language	6579	6585
Loaded_Language	3124	3143
Exaggeration,Minimisation	1375	1511
Loaded_Language	2548	2561
Loaded_Language	4002	4041
Black-and-White_Fallacy	6790	6809
Loaded_Language	4539	4559
Loaded_Language	1593	1613
Loaded_Language	6602	6743
Loaded_Language	3836	3861
"
152,article764664283.txt,"Loaded_Language	50	68
Doubt	2443	2530
Flag-Waving	1169	1192
Name_Calling,Labeling	6150	6175
Loaded_Language	2530	2831
Name_Calling,Labeling	2220	2243
Doubt	3837	4392
Doubt	5445	5786
Loaded_Language	111	145
Doubt	6759	6808
Loaded_Language	232	259
Appeal_to_fear-prejudice	1835	2236
Loaded_Language	1234	1252
Doubt	4476	4742
Name_Calling,Labeling	1373	1389
Repetition	1340	1352
Loaded_Language	5949	5980
Loaded_Language	8407	8437
Thought-terminating_Cliches	156	176
Loaded_Language	8116	8156
Whataboutism	5741	5785
Loaded_Language	5895	5918
Loaded_Language	5135	5582
Loaded_Language	2220	2241
Loaded_Language	885	1546
Loaded_Language	6461	6476
Exaggeration,Minimisation	1071	1191
"
153,article765029945.txt,"Exaggeration,Minimisation	2333	2357
Loaded_Language	1654	1694
Exaggeration,Minimisation	2370	2382
Loaded_Language	123	163
Exaggeration,Minimisation	491	506
Flag-Waving	2528	2570
Loaded_Language	2057	2155
Exaggeration,Minimisation	395	671
Loaded_Language	740	767
"
